t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
23.707,1788242753.165061,1788242752.263691,-901.37,102.176,7e-05,-0.00798
23.818,1788242753.268181,1788242752.374846,-893.334,111.155,7e-05,-0.00798
23.963,1788242753.372029,1788242752.520162,-851.867,145.315,7e-05,-0.00798
24.017,1788242753.474541,1788242752.574059,-900.483,53.897,7e-05,-0.00798
24.118,1788242753.577883,1788242752.675081,-902.802,101.022,7e-05,-0.00798
24.224,1788242753.68053,1788242752.78033,-900.199,105.249,7e-05,-0.00798
24.326,1788242753.784098,1788242752.882515,-901.582,102.185,7e-05,-0.00798
24.427,1788242753.887455,1788242752.984262,-903.193,101.747,7e-05,-0.00798
24.531,1788242753.990529,1788242753.087533,-902.995,103.271,7e-05,-0.00798
24.635,1788242754.093967,1788242753.19139,-902.577,103.857,7e-05,-0.00798
24.74,1788242754.197189,1788242753.2967,-900.489,105.31,7e-05,-0.00798
24.843,1788242754.300468,1788242753.399362,-901.106,102.662,7e-05,-0.00798
24.945,1788242754.403617,1788242753.501868,-901.749,102.506,7e-05,-0.00798
25.05,1788242754.506918,1788242753.606845,-900.073,104.977,7e-05,-0.00798
25.155,1788242754.611273,1788242753.711429,-899.844,104.584,7e-05,-0.00798
25.253,1788242754.714267,1788242753.810004,-904.263,98.575,7e-05,-0.00798
25.358,1788242754.81611,1788242753.915138,-900.972,105.134,7e-05,-0.00798
25.462,1788242754.91952,1788242754.018573,-900.947,103.435,7e-05,-0.00798
25.566,1788242755.022739,1788242754.122306,-900.433,103.733,7e-05,-0.00798
25.667,1788242755.125917,1788242754.224035,-901.882,101.728,7e-05,-0.00798
25.77,1788242755.229113,1788242754.327152,-901.961,103.117,7e-05,-0.00798
25.876,1788242755.332086,1788242754.433138,-898.947,105.987,7e-05,-0.00798
25.976,1788242755.435597,1788242754.532288,-903.31,99.149,7e-05,-0.00798
26.079,1788242755.538752,1788242754.63602,-902.732,103.732,7e-05,-0.00798
26.185,1788242755.641821,1788242754.741573,-900.248,105.553,7e-05,-0.00798
26.287,1788242755.746403,1788242754.843765,-902.638,102.192,7e-05,-0.00798
26.392,1788242755.848402,1788242754.948749,-899.653,104.984,7e-05,-0.00798
26.493,1788242755.951534,1788242755.049515,-902.019,100.766,7e-05,-0.00798
26.601,1788242756.055053,1788242755.158075,-896.978,108.56,7e-05,-0.00798
26.699,1788242756.158232,1788242755.255644,-902.589,97.569,7e-05,-0.00798
26.806,1788242756.261439,1788242755.362468,-898.972,106.824,7e-05,-0.00798
26.908,1788242756.365013,1788242755.464355,-900.657,101.888,7e-05,-0.00798
27.008,1788242756.468184,1788242755.564728,-903.456,100.373,7e-05,-0.00798
27.116,1788242756.571177,1788242755.67235,-898.827,107.622,7e-05,-0.00798
27.215,1788242756.674525,1788242755.772254,-902.271,99.904,7e-05,-0.00798
27.319,1788242756.777726,1788242755.876166,-901.56,103.912,7e-05,-0.00798
27.422,1788242756.880949,1788242755.978871,-902.078,102.705,7e-05,-0.00798
27.525,1788242756.984405,1788242756.081681,-902.723,102.811,7e-05,-0.00798
27.628,1788242757.087475,1788242756.185063,-902.412,103.381,7e-05,-0.00798
27.732,1788242757.190945,1788242756.28848,-902.465,103.417,7e-05,-0.00798
27.835,1788242757.294623,1788242756.391328,-903.295,102.848,7e-05,-0.00798
27.939,1788242757.397211,1788242756.495836,-901.375,104.508,7e-05,-0.00798
28.042,1788242757.500312,1788242756.599109,-901.203,103.273,7e-05,-0.00798
28.148,1788242757.603765,1788242756.705034,-898.731,105.925,7e-05,-0.00798
28.25,1788242757.706917,1788242756.806295,-900.621,101.262,7e-05,-0.00798
28.352,1788242757.810027,1788242756.909153,-900.874,102.858,7e-05,-0.00798
28.454,1788242757.913071,1788242757.011076,-901.995,101.923,7e-05,-0.00798
28.558,1788242758.016604,1788242757.11519,-901.414,104.114,7e-05,-0.00798
28.663,1788242758.119766,1788242757.219511,-900.255,104.321,7e-05,-0.00798
28.767,1788242758.223221,1788242757.323527,-899.693,104.016,7e-05,-0.00798
28.869,1788242758.327511,1788242757.425324,-902.187,101.797,7e-05,-0.00798
28.971,1788242758.429914,1788242757.527925,-901.99,102.601,7e-05,-0.00798
29.073,1788242758.532996,1788242757.629763,-903.233,101.839,7e-05,-0.00798
29.176,1788242758.636206,1788242757.73246,-903.746,102.696,7e-05,-0.00798
29.281,1788242758.739163,1788242757.838134,-901.029,105.674,7e-05,-0.00798
29.383,1788242758.84219,1788242757.939363,-902.827,101.229,7e-05,-0.00798
29.486,1788242758.945423,1788242758.042763,-902.66,103.4,7e-05,-0.00798
29.59,1788242759.048807,1788242758.146841,-901.966,104.078,7e-05,-0.00798
29.695,1788242759.151984,1788242758.251798,-900.186,104.957,7e-05,-0.00798
29.799,1788242759.255156,1788242758.356003,-899.153,104.205,7e-05,-0.00798
29.9,1788242759.358213,1788242758.457124,-901.089,101.121,7e-05,-0.00798
30.002,1788242759.461682,1788242758.559077,-902.605,101.953,7e-05,-0.00798
30.105,1788242759.565154,1788242758.662115,-903.039,103.038,7e-05,-0.00798
30.209,1788242759.668102,1788242758.765847,-902.254,103.732,7e-05,-0.00798
30.314,1788242759.771596,1788242758.871268,-900.328,105.421,7e-05,-0.00798
30.417,1788242759.874781,1788242758.974073,-900.708,102.805,7e-05,-0.00798
30.521,1788242759.977729,1788242759.07738,-900.348,103.307,7e-05,-0.00798
30.622,1788242760.080706,1788242759.178621,-902.085,101.241,7e-05,-0.00798
30.729,1788242760.184106,1788242759.285425,-898.681,106.804,7e-05,-0.00798
30.827,1788242760.287588,1788242759.383885,-903.702,98.46,7e-05,-0.00798
30.931,1788242760.390355,1788242759.487961,-902.394,104.076,7e-05,-0.00798
31.036,1788242760.493682,1788242759.593117,-900.565,105.156,7e-05,-0.00798
31.137,1788242760.596659,1788242759.693382,-903.278,100.265,7e-05,-0.00798
31.241,1788242760.69978,1788242759.798041,-901.74,104.659,7e-05,-0.00798
31.346,1788242760.803285,1788242759.902531,-900.754,104.491,7e-05,-0.00798
31.447,1788242760.906252,1788242760.003719,-902.533,101.188,7e-05,-0.00798
31.55,1788242761.00966,1788242760.106976,-902.685,103.256,7e-05,-0.00798
31.654,1788242761.112249,1788242760.210383,-901.866,103.407,7e-05,-0.00798
31.759,1788242761.21564,1788242760.316242,-899.398,105.859,7e-05,-0.00798
31.86,1788242761.31895,1788242760.417109,-901.841,100.867,7e-05,-0.00798
31.967,1788242761.422023,1788242760.523729,-898.294,106.619,7e-05,-0.00798
32.066,1788242761.527214,1788242760.623243,-903.97,99.514,7e-05,-0.00798
32.173,1788242761.629365,1788242760.730261,-899.104,107.018,7e-05,-0.00798
