t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
395.182,1788243123.626781,26.0453,-1.7724,42.906,0.577894,-0.0782642,0.0365801,0.0293962,0.614474,0.76019,0.19126,9.8236
395.592,1788243124.041269,25.9891,-1.7504,30.939,0.586406,-0.0649664,0.0333679,0.033263,0.619774,0.76577,0.18267,10.4497
395.997,1788243124.454893,26.0204,-1.7476,19.175,0.575988,-0.0599294,0.0302029,0.0329822,0.606191,0.75894,0.17379,10.4055
396.414,1788243124.86998,25.9934,-1.7432,6.912,0.580502,-0.060035,0.0252399,0.0299954,0.605742,0.76191,0.15887,9.9232
396.927,1788243125.387104,25.975,-1.7396,-6.879,0.568273,-0.0591052,0.0201308,0.0336977,0.588404,0.75384,0.14188,10.5178
399.217,1788243127.665029,26.2329,-1.8075,-8.911,0.621062,-0.0669054,0.0229557,0.0563053,0.644017,0.78807,0.15151,13.5956
401.076,1788243129.532772,26.4935,-1.8524,-8.185,0.671951,-0.0722644,0.0330683,0.0736666,0.70502,0.81973,0.18185,15.5510
402.838,1788243131.296496,26.7211,-1.8836,-5.327,0.684662,-0.0694368,0.0373825,0.0708664,0.722045,0.82744,0.19335,15.2526
404.607,1788243133.060124,26.9398,-1.9085,-3.622,0.681206,-0.0716906,0.0432631,0.069064,0.724469,0.82535,0.20800,15.0573
408.55,1788243137.002539,27.1927,-1.9391,-3.213,0.707605,-0.0689062,0.0488651,0.0716937,0.75647,0.84119,0.22105,15.3413
410.311,1788243138.766116,27.4633,-1.986,-4.892,0.710229,-0.0631475,0.0463721,0.0708823,0.756601,0.84275,0.21534,15.2543
412.077,1788243140.528821,27.7515,-2.0234,-4.409,0.693689,-0.0679432,0.0473107,0.0751427,0.741,0.83288,0.21751,15.7060
413.833,1788243142.291319,28.0181,-2.0625,-4.309,0.669086,-0.0799178,0.0475528,0.0725383,0.716638,0.81798,0.21807,15.4314
415.608,1788243144.053866,28.3125,-2.0995,-2.617,0.684572,-0.0821632,0.0547015,0.0763921,0.739273,0.82739,0.23388,15.8360
417.357,1788243145.816087,28.5857,-2.1365,-4.594,0.67436,-0.0807741,0.0600417,0.0779903,0.734402,0.82119,0.24503,16.0008
419.122,1788243147.578332,28.8301,-2.174,-5.477,0.640371,-0.089374,0.0633279,0.0810703,0.703698,0.80023,0.25165,16.3137
420.917,1788243149.341083,29.0757,-2.2146,-5.159,0.589641,-0.0812333,0.0660554,0.0850468,0.655696,0.76788,0.25701,16.7090
422.751,1788243151.207971,29.3705,-2.2637,-6.145,0.582353,-0.0678498,0.0688924,0.0869765,0.651246,0.76312,0.26247,16.8975
425.034,1788243153.491064,29.644,-2.3318,-14.965,0.589664,-0.0619907,0.0749761,0.100705,0.66464,0.76790,0.27382,18.1822
428.355,1788243156.809256,29.8161,-2.384,-3.529,0.607365,-0.0660456,0.0702141,0.0883111,0.677579,0.77934,0.26498,17.0267
430.327,1788243158.780296,30.0444,-2.4361,-5.976,0.62572,-0.0655098,0.080742,0.0922227,0.706462,0.79102,0.28415,17.3997
